Niveau Sévérité,Description,Gaussian Noise,Motion Blur,Overexposure,Rotation,Sensor Artifacts
0,Baseline (Aucune dégradation),93.91%,93.91%,93.91%,93.91%,93.91%
1,"Faible (Bruit 5%, Flou 3px, Rot 5°)",84.94%,92.79%,62.98%,94.55%,93.75%
2,"Léger (Bruit 10%, Flou 5px, Rot 10°)",74.04%,84.78%,76.60%,95.35%,93.43%
3,"Modéré (Bruit 15%, Flou 7px, Rot 15°)",65.38%,71.31%,79.33%,94.55%,92.95%
4,"Sévère (Bruit 20%, Flou 9px, Rot 20°)",62.98%,63.78%,83.33%,95.03%,95.03%
5,"Extrême (Bruit 25%, Flou 11px, Rot 25°)",62.50%,62.50%,83.65%,94.87%,93.75%
